well_name,depth_m,lith_code
Well-1,0,4
Well-1,1,4
Well-1,2,1
Well-1,3,5
Well-1,4,5
Well-1,5,1
Well-1,6,7
Well-1,7,5
Well-1,8,6
Well-1,9,1
Well-1,10,2
Well-1,11,4
Well-1,12,10
Well-1,13,2
Well-1,14,7
Well-1,15,3
Well-1,16,10
Well-1,17,8
Well-1,18,9
Well-1,19,3
Well-1,20,7
Well-1,21,8
Well-1,22,1
Well-1,23,10
Well-1,24,4
Well-1,25,4
Well-1,26,10
Well-1,27,6
Well-1,28,2
Well-1,29,9
Well-1,30,3
Well-1,31,5
Well-1,32,2
Well-1,33,8
Well-1,34,8
Well-1,35,8
Well-1,36,1
Well-1,37,2
Well-1,38,1
Well-1,39,10
Well-1,40,8
Well-1,41,5
Well-1,42,8
Well-1,43,5
Well-1,44,8
Well-1,45,8
Well-1,46,10
Well-1,47,1
Well-1,48,7
Well-1,49,5
Well-1,50,8
Well-1,51,8
Well-1,52,2
Well-1,53,6
Well-1,54,6
Well-1,55,2
Well-1,56,8
Well-1,57,2
Well-1,58,5
Well-1,59,10
Well-1,60,8
Well-1,61,3
Well-1,62,5
Well-1,63,7
Well-1,64,1
Well-1,65,5
Well-1,66,1
Well-1,67,5
Well-1,68,2
Well-1,69,9
Well-1,70,5
Well-1,71,7
Well-1,72,9
Well-1,73,7
Well-1,74,5
Well-1,75,7
Well-1,76,5
Well-1,77,2
Well-1,78,9
Well-1,79,6
Well-1,80,8
Well-1,81,6
Well-1,82,9
Well-1,83,6
Well-1,84,4
Well-1,85,9
Well-1,86,3
Well-1,87,2
Well-1,88,10
Well-1,89,9
Well-1,90,5
Well-1,91,6
Well-1,92,8
Well-1,93,4
Well-1,94,1
Well-1,95,10
Well-1,96,4
Well-1,97,5
Well-1,98,8
Well-1,99,5
Well-1,100,5
Well-1,101,10
Well-1,102,9
Well-1,103,2
Well-1,104,6
Well-1,105,10
Well-1,106,8
Well-1,107,1
Well-1,108,3
Well-1,109,4
Well-1,110,5
Well-1,111,10
Well-1,112,5
Well-1,113,7
Well-1,114,3
Well-1,115,3
Well-1,116,2
Well-1,117,2
Well-1,118,5
Well-1,119,1
Well-1,120,5
Well-1,121,10
Well-1,122,3
Well-1,123,9
Well-1,124,5
Well-1,125,4
Well-1,126,9
Well-1,127,4
Well-1,128,4
Well-1,129,4
Well-1,130,8
Well-1,131,4
Well-1,132,3
Well-1,133,8
Well-1,134,10
Well-1,135,3
Well-1,136,2
Well-1,137,5
Well-1,138,9
Well-1,139,2
Well-1,140,1
Well-1,141,4
Well-1,142,6
Well-1,143,9
Well-1,144,6
Well-1,145,5
Well-1,146,4
Well-1,147,10
Well-1,148,4
Well-1,149,7
Well-1,150,2
Well-1,151,4
Well-1,152,7
Well-1,153,5
Well-1,154,8
Well-1,155,2
Well-1,156,2
Well-1,157,9
Well-1,158,1
Well-1,159,10
Well-1,160,8
Well-1,161,5
Well-1,162,10
Well-1,163,2
Well-1,164,7
Well-1,165,3
Well-1,166,8
Well-1,167,7
Well-1,168,3
Well-1,169,1
Well-1,170,1
Well-1,171,8
Well-1,172,1
Well-1,173,6
Well-1,174,6
Well-1,175,2
Well-1,176,1
Well-1,177,3
Well-1,178,2
Well-1,179,5
Well-1,180,2
Well-1,181,10
Well-1,182,5
Well-1,183,9
Well-1,184,5
Well-1,185,8
Well-1,186,8
Well-1,187,6
Well-1,188,5
Well-1,189,3
Well-1,190,6
Well-1,191,9
Well-1,192,5
Well-1,193,6
Well-1,194,7
Well-1,195,8
Well-1,196,2
Well-1,197,10
Well-1,198,5
Well-1,199,3
Well-1,200,10
Well-1,201,9
Well-1,202,7
Well-1,203,9
Well-1,204,9
Well-1,205,8
Well-1,206,8
Well-1,207,10
Well-1,208,4
Well-1,209,4
Well-1,210,10
Well-1,211,9
Well-1,212,1
Well-1,213,5
Well-1,214,2
Well-1,215,1
Well-1,216,10
Well-1,217,8
Well-1,218,1
Well-1,219,1
Well-1,220,2
Well-1,221,4
Well-1,222,1
Well-1,223,5
Well-1,224,9
Well-1,225,9
Well-1,226,4
Well-1,227,2
Well-1,228,2
Well-1,229,7
Well-1,230,3
Well-1,231,6
Well-1,232,1
Well-1,233,9
Well-1,234,2
Well-1,235,10
Well-1,236,4
Well-1,237,5
Well-1,238,9
Well-1,239,6
Well-1,240,4
Well-1,241,8
Well-1,242,9
Well-1,243,5
Well-1,244,10
Well-1,245,5
Well-1,246,1
Well-1,247,8
Well-1,248,6
Well-1,249,2
Well-1,250,8
Well-1,251,8
Well-1,252,8
Well-1,253,10
Well-1,254,3
Well-1,255,5
Well-1,256,4
Well-1,257,6
Well-1,258,4
Well-1,259,2
Well-1,260,7
Well-1,261,8
Well-1,262,8
Well-1,263,8
Well-1,264,6
Well-1,265,1
Well-1,266,2
Well-1,267,2
Well-1,268,3
Well-1,269,2
Well-1,270,6
Well-1,271,6
Well-1,272,4
Well-1,273,10
Well-1,274,8
Well-1,275,10
Well-1,276,4
Well-1,277,8
Well-1,278,7
Well-1,279,4
Well-1,280,3
Well-1,281,10
Well-1,282,4
Well-1,283,10
Well-1,284,10
Well-1,285,9
Well-1,286,4
Well-1,287,2
Well-1,288,6
Well-1,289,6
Well-1,290,2
Well-1,291,10
Well-1,292,2
Well-1,293,9
Well-1,294,9
Well-1,295,5
Well-1,296,10
Well-1,297,6
Well-1,298,5
Well-1,299,2
Well-1,300,7
Well-1,301,2
Well-1,302,7
Well-1,303,2
Well-1,304,6
Well-1,305,4
Well-1,306,9
Well-1,307,8
Well-1,308,8
Well-1,309,4
Well-1,310,8
Well-1,311,3
Well-1,312,4
Well-1,313,1
Well-1,314,5
Well-1,315,3
Well-1,316,5
Well-1,317,2
Well-1,318,7
Well-1,319,1
Well-1,320,7
Well-1,321,9
Well-1,322,8
Well-1,323,1
Well-1,324,10
Well-1,325,9
Well-1,326,3
Well-1,327,8
Well-1,328,2
Well-1,329,1
Well-1,330,2
Well-1,331,3
Well-1,332,7
Well-1,333,3
Well-1,334,9
Well-1,335,2
Well-1,336,9
Well-1,337,7
Well-1,338,10
Well-1,339,3
Well-1,340,7
Well-1,341,3
Well-1,342,10
Well-1,343,10
Well-1,344,3
Well-1,345,1
Well-1,346,1
Well-1,347,6
Well-1,348,2
Well-1,349,10
Well-1,350,4
Well-1,351,10
Well-1,352,7
Well-1,353,6
Well-1,354,2
Well-1,355,10
Well-1,356,9
Well-1,357,5
Well-1,358,5
Well-1,359,8
Well-1,360,7
Well-1,361,10
Well-1,362,6
Well-1,363,9
Well-1,364,3
Well-1,365,6
Well-1,366,8
Well-1,367,8
Well-1,368,4
Well-1,369,4
Well-1,370,1
Well-1,371,6
Well-1,372,1
Well-1,373,7
Well-1,374,9
Well-1,375,5
Well-1,376,3
Well-1,377,2
Well-1,378,4
Well-1,379,9
Well-1,380,7
Well-1,381,4
Well-1,382,6
Well-1,383,1
Well-1,384,5
Well-1,385,4
Well-1,386,10
Well-1,387,8
Well-1,388,4
Well-1,389,1
Well-1,390,9
Well-1,391,1
Well-1,392,8
Well-1,393,3
Well-1,394,3
Well-1,395,2
Well-1,396,2
Well-1,397,7
Well-1,398,10
Well-1,399,10
Well-1,400,9
Well-1,401,5
Well-1,402,10
Well-1,403,1
Well-1,404,5
Well-1,405,2
Well-1,406,4
Well-1,407,10
Well-1,408,5
Well-1,409,9
Well-1,410,6
Well-1,411,1
Well-1,412,8
Well-1,413,6
Well-1,414,3
Well-1,415,4
Well-1,416,6
Well-1,417,9
Well-1,418,10
Well-1,419,2
Well-1,420,8
Well-1,421,7
Well-1,422,8
Well-1,423,7
Well-1,424,10
Well-1,425,2
Well-1,426,8
Well-1,427,6
Well-1,428,10
Well-1,429,10
Well-1,430,9
Well-1,431,3
Well-1,432,8
Well-1,433,10
Well-1,434,6
Well-1,435,5
Well-1,436,3
Well-1,437,10
Well-1,438,7
Well-1,439,1
Well-1,440,2
Well-1,441,8
Well-1,442,3
Well-1,443,8
Well-1,444,8
Well-1,445,7
Well-1,446,9
Well-1,447,1
Well-1,448,7
Well-1,449,5
Well-1,450,10
Well-1,451,10
Well-1,452,6
Well-1,453,9
Well-1,454,2
Well-1,455,7
Well-1,456,5
Well-1,457,4
Well-1,458,1
Well-1,459,10
Well-1,460,7
Well-1,461,2
Well-1,462,6
Well-1,463,5
Well-1,464,4
Well-1,465,7
Well-1,466,6
Well-1,467,10
Well-1,468,4
Well-1,469,9
Well-1,470,6
Well-1,471,9
Well-1,472,10
Well-1,473,4
Well-1,474,4
Well-1,475,1
Well-1,476,9
Well-1,477,8
Well-1,478,6
Well-1,479,1
Well-1,480,1
Well-1,481,6
Well-1,482,10
Well-1,483,4
Well-1,484,6
Well-1,485,3
Well-1,486,10
Well-1,487,3
Well-1,488,3
Well-1,489,2
Well-1,490,2
Well-1,491,2
Well-1,492,7
Well-1,493,5
Well-1,494,5
Well-1,495,5
Well-1,496,10
Well-1,497,5
Well-1,498,7
Well-1,499,7
Well-1,500,10
Well-1,501,6
Well-1,502,9
Well-1,503,9
Well-1,504,2
Well-1,505,10
Well-1,506,7
Well-1,507,9
Well-1,508,6
Well-1,509,6
Well-1,510,6
Well-1,511,4
Well-1,512,8
Well-1,513,5
Well-1,514,10
Well-1,515,5
Well-1,516,6
Well-1,517,3
Well-1,518,9
Well-1,519,7
Well-1,520,7
Well-1,521,8
Well-1,522,1
Well-1,523,8
Well-1,524,9
Well-1,525,3
Well-1,526,5
Well-1,527,4
Well-1,528,9
Well-1,529,9
Well-1,530,7
Well-1,531,10
Well-1,532,6
Well-1,533,10
Well-1,534,3
Well-1,535,10
Well-1,536,10
Well-1,537,5
Well-1,538,6
